Data Field name in the Staging File,Cardinality,xml tag
BusinessProcessType,cbc:ProfileID(..1),cbc:ProfileID
-,cbc:CustomizationID(..1),"cbc:CustomizationID = ""urn:cen.eu:en16931:2017#compliant#urn: efactura.mfinante.ro:RO_CIUS:1.0.0.2021"""
InvoiceType,"cbc:InvoiceTypeCode(..1) / 
cbc:CreditNoteTypeCode(..1)",cbc:InvoiceTypeCode
InvoiceNumber,cbc:ID(..1),cbc:ID
InvoiceDate,cbc:IssueDate(..1),cbc:IssueDate
SellerLegalID,cac:AccountingSupplierParty(..1)/cac:Party(..1)/cac:PartyLegalEntity(..1)/cbc:CompanyID(..1),cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID
SellerVATID,cac:AccountingSupplierParty(..1)/cac:Party(..1)/cac:PartyTaxScheme(..1)/cbc:CompanyID(..1),cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID
InvoiceCurrencyCode,cbc:DocumentCurrencyCode(..1),cbc:DocumentCurrencyCode
VATCurrencyCode,cbc:TaxCurrencyCode(..1),cbc:TaxCurrencyCode
VATPointDate,cbc:TaxPointDate(..1),cbc:TaxPointDate
VATPointCode,cac:InvoicePeriod(..1)/cbc:DescriptionCode(..1),cac:InvoicePeriod/cbc:DescriptionCode
InvoiceStartDate,cac:InvoicePeriod(..1)/cbc:StartDate(..1),cac:InvoicePeriod/cbc:StartDate
InvoiceEndDate,cac:InvoicePeriod(..1)/cbc:EndDate(..1),cac:InvoicePeriod/cbc:EndDate
InvoiceNoteCode,cbc:Note(..1),cbc:Note
InvoiceNote,cbc:Note(..1),cbc:Note
SellerLegalName,cac:AccountingSupplierParty(..1)/cac:Party(..1)/cac:PartyLegalEntity(..1)/cbc:RegistrationName(..1),cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName
SellerLegalID_Scheme,cac:AccountingSupplierParty(..1)/cac:Party(..1)/cac:PartyLegalEntity(..1)/cbc:CompanyID(..1) / @schemeID(..1),cac:AccountingSupplierParty / cac:Party / cac:PartyLegalEntity / cbc:CompanyID  / @schemeID
SellerTradingName,cac:AccountingSupplierParty(..1)/cac:Party(..1)/cac:PartyName(..1)/cbc:Name(..1),cac:AccountingSupplierParty/cac:Party/cac:PartyName/cbc:Name
